service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,0,0,0,0,0,0,20241011,20241130
2,0,0,0,1,0,0,0,20241011,20241130
3,0,0,0,0,0,0,1,20241011,20241130
4,0,0,0,0,0,0,1,20241011,20241130
5,0,0,0,1,0,0,0,20241011,20241130
6,0,0,0,0,1,0,0,20241011,20241130
7,0,0,0,1,0,0,0,20241011,20241130
8,0,1,0,0,0,0,0,20241011,20241130
9,0,0,1,0,0,0,0,20241011,20241130
10,0,0,0,1,0,0,0,20241011,20241130
11,0,0,0,0,0,1,0,20241011,20241130
12,0,1,0,0,0,0,0,20241011,20241130
13,0,0,0,0,1,0,0,20241011,20241130
14,1,0,0,0,0,0,0,20241011,20241130
15,1,0,0,0,0,0,0,20241011,20241130
16,0,0,0,0,0,1,0,20241011,20241130
17,0,0,0,0,1,0,0,20241011,20241130
SEPT24-CFDMTh-Weekday-30,1,1,1,1,1,0,0,20241011,20241130
SEPT24-CFDFri-Weekday-30,1,1,1,1,1,0,0,20241011,20241130
SEPT24-CFDSUN-Sunday-01,0,0,0,0,0,0,1,20241011,20241130
SEPT24-CFDSAT-Saturday-01,0,0,0,0,0,1,0,20241012,20241130
