route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off,network_id
1-350,1,1,Confederation Line,,0,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,DA291C,FFFFFF,,1,1,
10,1,10,Hurdman - Lyon,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,D74100,FFFFFF,,1,1,
11,1,11,Bayshore - Laurier,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,D74100,FFFFFF,,1,1,
110,1,110,Fallowfield - CitiGate,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
111,1,111,Carleton - Baseline,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,D74100,FFFFFF,,1,1,
114,1,114,Carlington - Rideau,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
12,1,12,Parliament - Blair,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,D74100,FFFFFF,,1,1,
125,1,125,Blair - Aviation,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
131,1,131,Fallingbrook - Chapel Hill,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
138,1,138,Place d'Orléans - St Louis,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
14,1,14,Tunney's Pasture - St-Laurent,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,D74100,FFFFFF,,1,1,
140,1,140,Heron Park - Billings Bridge,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
141,1,141,Billings Bridge - Kaladar,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
15,1,15,Gatineau - Blair,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
153,1,153,Lincoln Fields - Tunney's Pasture,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
154,1,154,Queensway Terrace - Lincoln Fields,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
155,1,155,Queensway Terrace - Bayshore,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
158,1,158,Bayshore - Haanel,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
16,1,16,Westboro - Main,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
161,1,161,Bridlewood - Terry Fox,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
162,1,162,Terry Fox - Stittsville,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
164,1,164,Terry Fox - Hope Side,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
165,1,165,Terry Fox  -  Innovation,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
166,1,166,Eagleson -  Innovation,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
168,1,168,Bridlewood - Terry Fox,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
170,1,170,Fallowfield - Barrhaven Centre,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
171,1,171,Fallowfield - Barrhaven Centre,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
173,1,173,Bayshore - Barrhaven Centre,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
175,1,175,Barrhaven Centre - Golflinks,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
176,1,176,Manotick - Barrhaven Centre,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
18,1,18,St-Laurent - Parliament/Parlement,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
186,1,186,Rideau - Nepean South / sud,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
187,1,187,Tunney's Pasture - Amberwood,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
19,1,19,St-Laurent - Parliament/Parlement,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
190,1,190,Mooney's Bay - Hurdman,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
197,1,197,Greenboro - Uplands,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
198,1,198,Riverview - Greenboro,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
199,1,199,Hurdman - Leikin,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
2,1,2,Bayview - Greenboro,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,65A233,FFFFFF,,1,1,
20,1,20,Vanier - St. Laurent,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
21,1,21,Canotek - Blair,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
221,1,221,Blair - Cumberland,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
222,1,222,Blair - Vars,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
228,1,228,Blair - Navan-Sarsfield,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
23,1,23,Rothwell Heights - Blair,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
231,1,231,Blair - Meadowglen,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
232,1,232,Blair - Queenswood Heights,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
234,1,234,Blair - Tenth Line,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
236,1,236,Blair - Esprit,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
237,1,237,Blair - Jeanne d'Arc,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
24,1,24,Beacon Hill - St-Laurent,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
25,1,25,Millennium - La Cité,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,D74100,FFFFFF,,1,1,
252,1,252,Tunney's Pasture - Fernbank,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
256,1,256,Tunney's Pasture - Bridlewood,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
257,1,257,Tunney's Pasture - Bridlewood,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
258,1,258,Tunney's Pasture - Grandview,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
26,1,26,Pineview - Blair,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
261,1,261,Tunney's Pasture - Stittsville Main,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
262,1,262,Tunney's Pasture - West Ridge,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
263,1,263,Tunney's Pasture - Stanley Corners,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
264,1,264,Tunney's Pasture - Terry Fox,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
265,1,265,Tunney's Pasture - Beaverbrook,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
267,1,267,Tunney's Pasture - Glen Cairn,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
268,1,268,Tunney's Pasture - Kanata Lakes,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
27,1,27,St-Laurent - Wateridge,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
270,1,270,Tunney's Pasture - Cedarview,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
271,1,271,Tunney's Pasture - Stoneway,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
272,1,272,Tunney's Pasture - Cobble Hill,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
273,1,273,Tunney's Pasture - Tartan,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
277,1,277,Tunney's Pasture - Nepean Woods,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
278,1,278,Tunney's Pasture - Riverside South/Sud,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
28,1,28,Blackburn Hamlet - Blair,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
282,1,282,Tunney's Pasture - Trend-Arlington,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
283,1,283,Tunney's Pasture - Richmond/Munster,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
290,1,290,Hurdman - McCarthy,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
291,1,291,Hurdman - Herongate,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
294,1,294,Hurdman - Findlay Creek,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
299,1,299,Manotick - Hurdman,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,A85B8C,FFFFFF,,1,1,
30,1,30,Millennium - Blair,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
301,1,301,Richmond-Bayshore-Carlingwood,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
302,1,302,Cumberland - Orleans - St-Laurent,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
303,1,303,Dunrobin-Carp-Carlingwood,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
304,1,304,Metcalfe-Greely-Billings Bridge,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
305,1,305,North Gower-Manotic-Carlingwood,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
31,1,31,Blair - Place D'Orléans,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
32,1,32,Sunview - Blair,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
33,1,33,Portobello - Blair,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
34,1,34,Blair - Renaud,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
35,1,35,Esprit - Blair,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
37,1,37,Queenswood Heights - Blair,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
38,1,38,Jeanne d'Arc/Trim - Blair,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
39,1,39,Parliament/Parlement - Blair/La Cité,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,0056B8,FFFFFF,,1,1,
40,1,40,Greenboro/Hurdman - St-Laurent,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,D74100,FFFFFF,,1,1,
404,1,404,Canadian Tire Centre,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
405,1,405,Canadian Tire Centre,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
406,1,406,Canadian Tire Centre,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
42,1,42,Hurdman - Blair,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
44,1,44,Billings Bridge - Hurdman,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,D74100,FFFFFF,,1,1,
45,1,45,Hospital/Hôpital - Hurdman-Parliament/Parlement,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,0056B8,FFFFFF,,1,1,
46,1,46,Billings Bridge - Hurdman,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
47,1,47,Hawthorne - St-Laurent,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,E6E6E6,58595B,,1,1,
48,1,48,Elmvale - Hurdman,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
49,1,49,Elmvale - Hurdman,,3,https://www.octranspo.com/en/plan-your-trip/schedules-maps/,6E6E70,FFFFFF,,1,1,
