stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
6086,,PRINCE OF WALES / CENTURY,,,45.192563,-75.725032,,,0,,,0,,
7386,,DONALD / TELFORD,,,45.428535,-75.646566,,,0,,,0,,
7383,,ALTA VISTA / AYERS,,,45.376542,-75.660768,,,0,,,0,,
7370,,ABBEYHILL / SHERWOOD,,,45.295663,-75.88083,,,0,,,0,,
1605,,JEANNE D'ARC / BILBERRY,,,45.480699,-75.533083,,,0,,,0,,
10236,,JASMINE / OGILVIE,,,45.442733,-75.595947,,,0,,,0,,
10442,,CEDARVIEW MIDDLE SCHOOL,,,45.277094,-75.779573,,,0,,,0,,
9807,,C.C MER BLEUE,,,45.435081,-75.505675,,,0,,,0,,
10283,,HOLY TRINITY H.S,,,45.307931,-75.900299,,,0,,,0,,
4611,,NODE 5824,,,45.47381,-75.475757,,,0,,,0,,
10377,,WESTBORO OFF ONLY,,,45.395739,-75.753067,,,0,,,0,,
7382,,LONGFIELD - DAVIDSON HEIGHTS H.S.,,,45.279323,-75.739853,,,0,,,0,,
10455,,CATHERINE / METCALFE,,,45.412001,-75.686481,,,0,,,0,,
1632,,ORLÉANS / CAIRINE WILSON H.S.,,,45.481884,-75.540346,,,0,,,0,,
4971,,BROADVIEW / NOTRE DAME H.S.,,,45.379194,-75.755728,,,0,,,0,,
8043,,SAMUEL GENEST,,,45.442178,-75.62867,,,0,,,0,,
9132,,DAUPHIN / TWEED,,,45.397937,-75.637532,,,0,,,0,,
10456,,ARGYLE / METCALFE,,,45.412645,-75.687082,,,0,,,0,,
2406,,CHESTERTON / VIEWMOUNT,,,45.349057,-75.716239,,,0,,,0,,
10284,,PIERRE-DE-BLOIS,,,45.262121,-75.757081,,,0,,,0,,
9573,,SMYTH / FRANCO-CITÉ,,,45.399925,-75.64151,,,0,,,0,,
10029,,ST-PAUL H.S,,,45.340997,-75.792116,,,0,,,0,,
10457,,RING ROAD,,,45.399564,-75.651254,,,0,,,0,,
10285,,PIERRE-DE-BLOIS,,,45.262932,-75.758349,,,0,,,0,,
9884,,ORLÉANS / FORTUNE,,,45.47601,-75.535578,,,0,,,0,,
6085,,CENTURY / PRINCE OF WALES,,,45.192228,-75.725492,,,0,,,0,,
987,,BROOKFIELD/ BROOKFIELD H.S.,,,45.373427,-75.685017,,,0,,,0,,
10229,,LOUIS RIEL H.S,,,45.441034,-75.571779,,,0,,,0,,
10314,,BELL H.S,,,45.326713,-75.809574,,,0,,,0,,
2599,,MAIN / EVELYN,,,45.410978,-75.679183,,,0,,,0,,
2594,,LEES 3A,,,45.416,-75.670417,,,0,,,0,,
9659,,RICHARDSON / ALL SAINTS H.S.,,,45.322716,-75.925353,,,0,,,0,,
4043,,DOMINION STN OFF ONLY,,,45.39227,-75.760333,,,0,,,0,,
10454,,BANK / GLEBE,,,45.405472,-75.689552,,,0,,,0,,
7737,,ALTA VISTA / ST PATRICK H.S.,,,45.378629,-75.659197,,,0,,,0,,
6897,,OGILVIE / KENDER,,,45.455652,-75.599763,,,0,,,0,,
10705,0029,FAMILLE-LAPORTE / GÉOGRAPHE,,,45.500159,-75.468386,,,0,,,0,,
10092,0094,CANADIAN TIRE CENTRE,,,45.298735,-75.926914,,,0,,,0,,
9588,0095,SAMUEL GENEST,,,45.443367,-75.629311,,,0,,,0,,
9110,0096,HILLCREST HIGH SCHOOL,,,45.398063,-75.638525,,,0,,,0,,
9613,0097,GRANDVIEW / CARLING,,,45.354889,-75.849945,,,0,,,0,,
10230,0098,LOUIS RIEL H.S,,,45.440801,-75.572171,,,0,,,0,,
9934,0099,CARLINGWOOD MALL - REXALL,,,45.372477,-75.768833,,,0,,,0,,
10402,0200,PERSEUS / NOKOMIS,,,45.252254,-75.755421,,,0,,,0,,
10403,0201,PERSEUS / NOKOMIS,,,45.252294,-75.755089,,,0,,,0,,
10404,0202,APOLUNE / FLAGSTAFF,,,45.249796,-75.754576,,,0,,,0,,
10405,0203,APOLUNE / FLAGSTAFF,,,45.249834,-75.75484,,,0,,,0,,
9838,0239,FAMILLE-LAPORTE / OLD MONTRÉAL,,,45.494655,-75.468323,,,0,,,0,,
9751,0240,DE LA FAMILLE-LAPORTE / DE LA MINOTERIE RIDGE,,,45.497031,-75.470582,,,0,,,0,,
9752,0241,DE LA FAMILLE-LAPORTE / MISHAWASHKODE,,,45.497347,-75.47048,,,0,,,0,,
9753,0242,DE LA FAMILLE-LAPORTE / DE LA BAIE DES CASTORS,,,45.499019,-75.470493,,,0,,,0,,
9754,0243,DE LA FAMILLE-LAPORTE / DU CARTOGRAPHE,,,45.49871,-75.470477,,,0,,,0,,
9756,0244,CARDINAL CREEK / OLD MONTRÉAL,,,45.499051,-75.465834,,,0,,,0,,
9755,0245,CARDINAL CREEK / OLD MONTRÉAL,,,45.498963,-75.465911,,,0,,,0,,
3328,0274,LONGFIELDS / ABETTI,,,45.258827,-75.730435,,,0,,,0,,
6510,0275,MARCONI / SHIRLEY'S BROOK,,,45.356142,-75.92276,,,0,,,0,,
10035,0298,STRANDHERD / APPLEDALE PATH,,,45.276094,-75.730148,,,0,,,0,,
10034,0299,STRANDHERD / HIGHPOINTE PATH,,,45.275899,-75.729727,,,0,,,0,,
3684,0303,RIVER / BALMORAL,,,45.30655,-75.693497,,,0,,,0,,
3681,0304,RIVER / AD. 540,,,45.28878,-75.693448,,,0,,,0,,
3326,0310,JOCKVALE / AD. 3280,,,45.26455,-75.73932,,,0,,,0,,
1036,0311,BASELINE / GUTHRIE,,,45.33884,-75.792678,,,0,,,0,,
4703,0312,BLOHM / SAI,,,45.375192,-75.607283,,,0,,,0,,
3868,0313,R.R. 174 / MORIN,,,45.519372,-75.38174,,,0,,,0,,
4800,0314,DUMAURIER / AD. 3056,,,45.34875,-75.797733,,,0,,,0,,
143,0316,MERIVALE / AD. 1642,,,45.345842,-75.730317,,,0,,,0,,
9627,0317,ROCKDALE / RUSSELL,,,45.375914,-75.363503,,,0,,,0,,
7068,0318,ROCKDALE / RUSSELL,,,45.376315,-75.363828,,,0,,,0,,
1060,0319,BASELINE / MARSON,,,45.370073,-75.719627,,,0,,,0,,
3286,0320,JOCKVALE / AD. 3265,,,45.264685,-75.739225,,,0,,,0,,
3494,0322,HOLLAND / RUSKIN,,,45.392207,-75.727455,,,0,,,0,,
2415,0323,MERIVALE / CAPILANO,,,45.355364,-75.736018,,,0,,,0,,
4294,0324,BILBERRY / AD. 6600,,,45.479372,-75.530418,,,0,,,0,,
2679,0325,DON / ZEPHYR,,,45.363557,-75.796048,,,0,,,0,,
394,0326,ORLÉANS / FOREST VALLEY,,,45.44965,-75.535202,,,0,,,0,,
3156,0330,PORTOBELLO / CAPREOL,,,45.456142,-75.465902,,,0,,,0,,
3158,0331,BRIAN COBURN / BOISFRANC,,,45.454243,-75.46986,,,0,,,0,,
3219,0332,ESPRIT / GALLERIA,,,45.4548,-75.473468,,,0,,,0,,
3220,0333,ESPRIT / AQUAVIEW,,,45.457398,-75.475057,,,0,,,0,,
3214,0334,ESPRIT / AQUAVIEW,,,45.457168,-75.475073,,,0,,,0,,
5819,0335,OLD RICHMOND / AD. 5092,,,45.287835,-75.836865,,,0,,,0,,
5816,0336,OLD RICHMOND / AD. 5092,,,45.28793,-75.836738,,,0,,,0,,
5818,0337,OLD RICHMOND / WEST HUNT CLUB,,,45.299748,-75.833042,,,0,,,0,,
5817,0338,OLD RICHMOND / WEST HUNT CLUB,,,45.300392,-75.832733,,,0,,,0,,
9771,0339,CENTRE MINTO REC. CENTRE,,,45.25296,-75.733173,,,0,,,0,,
9772,0340,CENTRE MINTO REC. CENTRE,,,45.252313,-75.733475,,,0,,,0,,
2969,0341,KANATA / STIKINE,,,45.320688,-75.927035,,,0,,,0,,
5901,0344,BRITTANY / ST-LAURENT,,,45.445803,-75.649333,,,0,,,0,,
2124,0345,KIRKWOOD / BYRON,,,45.393628,-75.745702,,,0,,,0,,
9670,0346,STITTSVILLE MAIN / CARP,,,45.267174,-75.930099,,,0,,,0,,
6000,0347,STITTSVILLE MAIN / CARP,,,45.26695,-75.929737,,,0,,,0,,
2480,0348,COLONNADE / AD. 82,,,45.347217,-75.709923,,,0,,,0,,
6105,0350,CLYDE NORTH / CARLING,,,45.378505,-75.749818,,,0,,,0,,
6113,0351,CLYDE NORTH / LAPERRIERE,,,45.37589,-75.74811,,,0,,,0,,
6106,0352,CLYDE NORTH / LAPERRIERE,,,45.375898,-75.748285,,,0,,,0,,
2918,0353,STONEHAVEN / GRASSY PLAINS,,,45.282017,-75.845003,,,0,,,0,,
8930,0354,PORTOBELLO / BRIAN COBURN,,,45.454387,-75.46475,,,0,,,0,,
8935,0355,BRIAN COBURN / PORTOBELLO,,,45.454807,-75.46459,,,0,,,0,,
3163,0356,BRIAN COBURN / BOISFRANC,,,45.454163,-75.46912,,,0,,,0,,
3216,0358,ESPRIT / BRIAN COBURN,,,45.453552,-75.472927,,,0,,,0,,
3215,0359,ESPRIT / GALLERIA,,,45.454648,-75.473515,,,0,,,0,,
10231,0365,FERNBANK / EDENWYLDE,,,45.254586,-75.901189,,,0,,,0,,
10232,0366,FERNBANK / EDENWYLDE,,,45.254876,-75.900554,,,0,,,0,,
7499,0368,CARDELREC-GOULBOURN COMPLEX,,,45.264128,-75.907278,,,0,,,0,,
9555,0369,FERNBANK / LIARD,,,45.252403,-75.904854,,,0,,,0,,
4093,0370,FERNBANK / LIARD,,,45.251945,-75.905323,,,0,,,0,,
4066,0371,FERNBANK / CHERRY,,,45.24956,-75.909417,,,0,,,0,,
2884,0380,HUNTMAR / MAPLE GROVE,,,45.288447,-75.919867,,,0,,,0,,
4763,0381,AMBERWOOD / MERIVALE,,,45.317637,-75.713443,,,0,,,0,,
10382,0382,MONTRÉAL / VANIER,,,45.43458,-75.66526,,,0,,,0,,
2945,0383,BEAVERBROOK / LEACOCK,,,45.328755,-75.900078,,,0,,,0,,
1881,0385,JOHNSTON / PENNARD,,,45.36889,-75.633073,,,0,,,0,,
1882,0386,JOHNSTON / ZAIDAN,,,45.36842,-75.631397,,,0,,,0,,
1888,0387,JOHNSTON / ZAIDAN,,,45.368515,-75.632477,,,0,,,0,,
1886,0388,CONROY / FENTERRA,,,45.370955,-75.623163,,,0,,,0,,
